CFM,Color Temp,RGB (0-255),,,HEX RGB (00 - FF)
1931 CIE (2deg) or 1964 CIE (10deg),(Kelvin),R,G,B,RGB
10deg,16000,176,202,255,#b0caff
2deg,16100,180,199,255,#b4c7ff
10deg,16100,176,202,255,#b0caff
2deg,16200,180,198,255,#b4c6ff
10deg,16200,175,201,255,#afc9ff
2deg,16300,180,198,255,#b4c6ff
10deg,16300,175,201,255,#afc9ff
2deg,16400,180,198,255,#b4c6ff
10deg,16400,175,201,255,#afc9ff
2deg,16500,179,198,255,#b3c6ff
10deg,16500,175,201,255,#afc9ff
2deg,16600,179,198,255,#b3c6ff
10deg,16600,175,201,255,#afc9ff
2deg,16700,179,198,255,#b3c6ff
10deg,16700,174,201,255,#aec9ff
2deg,16800,179,197,255,#b3c5ff
10deg,16800,174,201,255,#aec9ff
2deg,16900,179,197,255,#b3c5ff
10deg,16900,174,200,255,#aec8ff
2deg,17000,178,197,255,#b2c5ff
10deg,17000,174,200,255,#aec8ff
2deg,17100,178,197,255,#b2c5ff
10deg,17100,173,200,255,#adc8ff
2deg,17200,178,197,255,#b2c5ff
10deg,17200,173,200,255,#adc8ff
2deg,17300,178,197,255,#b2c5ff
10deg,17300,173,200,255,#adc8ff
2deg,17400,178,196,255,#b2c4ff
10deg,17400,173,200,255,#adc8ff
2deg,17500,177,196,255,#b1c4ff
10deg,17500,173,200,255,#adc8ff
2deg,17600,177,196,255,#b1c4ff
10deg,17600,172,199,255,#acc7ff
2deg,17700,177,196,255,#b1c4ff
10deg,17700,172,199,255,#acc7ff
2deg,17800,177,196,255,#b1c4ff
10deg,17800,172,199,255,#acc7ff
2deg,17900,177,196,255,#b1c4ff
10deg,17900,172,199,255,#acc7ff
2deg,18000,176,196,255,#b0c4ff
10deg,18000,172,199,255,#acc7ff
2deg,18100,176,195,255,#b0c3ff
10deg,18100,171,199,255,#abc7ff
2deg,18200,176,195,255,#b0c3ff
10deg,18200,171,199,255,#abc7ff
2deg,18300,176,195,255,#b0c3ff
10deg,18300,171,199,255,#abc7ff
2deg,18400,176,195,255,#b0c3ff
